FID;ID_Indicat;Nom_Indica;Departamen;Departam_1;Municipaly;Municipali;Categoria_;Categoria1;Aglomeraci;Función_S;Shape__Area;Shape__Length
837;12It12;Rurality level;41;Huila;41791;Tarqui;Rural;Rural;Fuera SC;Fuera SC;366660776.5;85562.8167
838;12It12;Rurality level;41;Huila;41797;Tesalia;Rural;Rural;Fuera SC;Fuera SC;366420239.5;95542.43835
839;12It12;Rurality level;41;Huila;41799;Tello;Rural;Rural;Fuera SC;Fuera SC;526838139.8;124882.072
840;12It12;Rurality level;41;Huila;41801;Teruel;Rural;Rural;Fuera SC;Fuera SC;475005191.1;163890.1579
841;12It12;Rurality level;41;Huila;41807;Timaná;Intermedio;intermedio;Fuera SC;Fuera SC;189535721.4;62263.32862
842;12It12;Rurality level;41;Huila;41872;Villavieja;Rural;Rural;Fuera SC;Fuera SC;547290376.6;121682.1284
843;12It12;Rurality level;41;Huila;41885;Yaguará;Rural;Rural;Fuera SC;Fuera SC;331289717.9;83443.48277
844;12It12;Rurality level;41;Huila;41298;Garzón;Intermedio;intermedio;Fuera SC;Fuera SC;612351031.9;123786.4829
845;12It12;Rurality level;41;Huila;41244;Elías;Rural;intermedio;Fuera SC;Fuera SC;79573519.44;46551.99996
846;12It12;Rurality level;41;Huila;41206;Colombia;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1592394371;229878.1876
847;12It12;Rurality level;41;Huila;41132;Campoalegre;Intermedio;intermedio;Fuera SC;Fuera SC;465385703.9;98092.19955
848;12It12;Rurality level;41;Huila;41078;Baraya;Rural;Rural;Fuera SC;Fuera SC;795218339.3;135464.1003
849;12It12;Rurality level;41;Huila;41026;Altamira;Rural;Rural;Fuera SC;Fuera SC;178925659.5;63779.07108
850;12It12;Rurality level;41;Huila;41020;Algeciras;Rural;Rural;Fuera SC;Fuera SC;593991966.2;123402.1358
851;12It12;Rurality level;41;Huila;41016;Aipe;Rural;Rural;Fuera SC;Fuera SC;799927807.2;185681.3385
852;12It12;Rurality level;41;Huila;41013;Agrado;Rural;Rural;Fuera SC;Fuera SC;282069268.1;70336.37937
853;12It12;Rurality level;41;Huila;41006;Acevedo;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;543152187.8;113634.6346
854;12It12;Rurality level;44;La Guajira;44078;Barrancas;Rural;Rural;Fuera SC;Fuera SC;842229689.6;137712.9404
855;12It12;Rurality level;44;La Guajira;44098;Distracción;Intermedio;intermedio;Fuera SC;Fuera SC;244437547;81122.22296
856;12It12;Rurality level;44;La Guajira;44110;El Molino;Rural;Rural;Fuera SC;Fuera SC;252913778.9;69678.77758
857;12It12;Rurality level;44;La Guajira;44279;Fonseca;Intermedio;intermedio;Fuera SC;Fuera SC;484420096.2;119895.5678
858;12It12;Rurality level;44;La Guajira;44378;Hatonuevo;Intermedio;intermedio;Fuera SC;Fuera SC;220293803;102484.9616
859;12It12;Rurality level;44;La Guajira;44420;La Jagua del Pilar;Rural;Rural;Fuera SC;Fuera SC;185168161.3;93005.38925
860;12It12;Rurality level;44;La Guajira;44855;Urumita;Intermedio;Rural;Fuera SC;Fuera SC;256081316.8;96615.32236
861;12It12;Rurality level;44;La Guajira;44874;Villanueva;Intermedio;intermedio;Fuera SC;Fuera SC;266020751.7;77364.58807
862;12It12;Rurality level;47;Magdalena;47541;Pedraza;Rural;Rural;Fuera SC;Fuera SC;336494770.9;89653.80807
863;12It12;Rurality level;47;Magdalena;47030;Algarrobo;Rural;Rural;Fuera SC;Fuera SC;419754351.6;109163.8905
864;12It12;Rurality level;47;Magdalena;47058;Ariguaní;Rural;Rural;Fuera SC;Fuera SC;1177760137;157546.5564
865;12It12;Rurality level;47;Magdalena;47161;Cerro San Antonio;Rural;intermedio;Fuera SC;Fuera SC;185780487.4;68761.28756
866;12It12;Rurality level;47;Magdalena;47170;Chivolo;Rural;Rural;Fuera SC;Fuera SC;544098425.9;109401.4488
867;12It12;Rurality level;47;Magdalena;47205;Concordia;Intermedio;intermedio;Fuera SC;Fuera SC;108753274.3;51950.26577
868;12It12;Rurality level;47;Magdalena;47245;El Banco;Intermedio;intermedio;Fuera SC;Fuera SC;832599406.7;152684.5617
869;12It12;Rurality level;47;Magdalena;47258;El Piñon;Rural;Rural;Fuera SC;Fuera SC;581405962.8;115742.2081
870;12It12;Rurality level;47;Magdalena;47268;El Retén;Intermedio;intermedio;Fuera SC;Fuera SC;270429094.2;86014.12057
871;12It12;Rurality level;47;Magdalena;47318;Guamal;Rural Disperso;Rural;Fuera SC;Fuera SC;578669474.9;113405.9823
872;12It12;Rurality level;47;Magdalena;47460;Nueva Granada;Rural;Rural;Fuera SC;Fuera SC;875375914.3;141385.6257
873;12It12;Rurality level;47;Magdalena;47545;Pijiño del Carmen;Rural;Rural;Fuera SC;Fuera SC;671036414.2;210933.0612
874;12It12;Rurality level;47;Magdalena;47551;Pivijay;Rural;Rural;Fuera SC;Fuera SC;1706923133;193336.7346
875;12It12;Rurality level;47;Magdalena;47555;Plato;Intermedio;intermedio;Fuera SC;Fuera SC;1516339062;225323.9659
876;12It12;Rurality level;47;Magdalena;47570;Puebloviejo;Rural;Rural;Fuera SC;Fuera SC;716810324.9;131173.0512
877;12It12;Rurality level;47;Magdalena;47605;Remolino;Rural;Rural;Fuera SC;Fuera SC;625870345.4;106570.797
878;12It12;Rurality level;47;Magdalena;47660;Sabanas de San Angel;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1283704994;201317.7776
879;12It12;Rurality level;47;Magdalena;47675;Salamina;Rural;intermedio;Fuera SC;Fuera SC;174150674;56585.35243
880;12It12;Rurality level;47;Magdalena;47692;San Sebastián de Buenavista;Rural;Rural;Fuera SC;Fuera SC;454589937.5;133228.3433
881;12It12;Rurality level;47;Magdalena;47703;San Zenón;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;280973578.4;109122.5346
882;12It12;Rurality level;47;Magdalena;47707;Santa Ana;Rural;Rural;Fuera SC;Fuera SC;1162965507;274433.0388
883;12It12;Rurality level;47;Magdalena;47720;Santa Bárbara de Pinto;Rural;Rural;Fuera SC;Fuera SC;510361482.8;108770.6769
884;12It12;Rurality level;47;Magdalena;47745;Sitionuevo;Rural;Aglomeración Barranquilla;A-Barranquilla;En aglomeración;1012109441;162480.7949
885;12It12;Rurality level;47;Magdalena;47798;Tenerife;Rural;Rural;Fuera SC;Fuera SC;510197314.6;99720.83012
886;12It12;Rurality level;47;Magdalena;47960;Zapayán;Rural;Rural;Fuera SC;Fuera SC;377433049.1;104255.67
887;12It12;Rurality level;47;Magdalena;47980;Zona Bananera;Intermedio;intermedio;Fuera SC;Fuera SC;456905145.5;98779.53324
888;12It12;Rurality level;50;Meta;50001;Villavicencio;Ciudades y aglomeraciones;Nodo;A-Villavicencio;Centro aglomeración;1302198736;196197.8822
889;12It12;Rurality level;50;Meta;50006;Acacías;Intermedio;intermedio;Fuera SC;Fuera SC;1142156441;196111.132
890;12It12;Rurality level;50;Meta;50110;Barranca de Upía;Rural Disperso;Rural;Fuera SC;Fuera SC;399134575.5;110117.9902
891;12It12;Rurality level;50;Meta;50124;Cabuyaro;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;926725983.8;144616.3575
892;12It12;Rurality level;50;Meta;50150;Castilla la Nueva;Rural;Rural;Fuera SC;Fuera SC;522480231.7;117446.8575
893;12It12;Rurality level;50;Meta;50223;Cubarral;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1172716880;208950.9248
894;12It12;Rurality level;50;Meta;50226;Cumaral;Rural;Rural;Fuera SC;Fuera SC;635830731.9;155820.7684
895;12It12;Rurality level;50;Meta;50245;El Calvario;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;283634223.9;77618.3285
896;12It12;Rurality level;50;Meta;50251;El Castillo;Rural;Rural;Fuera SC;Fuera SC;574859943.5;105857.281
897;12It12;Rurality level;50;Meta;50270;El Dorado;Rural;Rural;Fuera SC;Fuera SC;119138429.2;42927.80905
898;12It12;Rurality level;50;Meta;50287;Fuente de Oro;Rural;Rural;Fuera SC;Fuera SC;579402701.7;125919.7252
899;12It12;Rurality level;50;Meta;50313;Granada;Intermedio;intermedio;Fuera SC;Fuera SC;350406284.3;96253.30959
900;12It12;Rurality level;50;Meta;50318;Guamal;Rural;Rural;Fuera SC;Fuera SC;602445860;144736.87
901;12It12;Rurality level;50;Meta;50330;Mesetas;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2304452538;315114.433
902;12It12;Rurality level;50;Meta;50370;Uribe;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;6495858033;460281.8093
903;12It12;Rurality level;50;Meta;50400;Lejanías;Rural;Rural;Fuera SC;Fuera SC;822304153.3;158262.9164
904;12It12;Rurality level;50;Meta;50450;Puerto Concordia;Rural;Rural Disperso;Fuera SC;Fuera SC;1244088220;212146.2635
905;12It12;Rurality level;50;Meta;50573;Puerto López;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;6990400384;445901.6347
906;12It12;Rurality level;50;Meta;50577;Puerto Lleras;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2564118605;274951.8879
907;12It12;Rurality level;50;Meta;50590;Puerto Rico;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;3457594125;254834.2087
908;12It12;Rurality level;50;Meta;50606;Restrepo;Rural;Aglomeración Villavicencio;A-Villavicencio;En aglomeración;367561939.2;171125.709
909;12It12;Rurality level;50;Meta;50680;San Carlos de Guaroa;Rural;Rural;Fuera SC;Fuera SC;812944631.6;135370.6596
910;12It12;Rurality level;50;Meta;50683;San Juan de Arama;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1180460145;210941.9031
911;12It12;Rurality level;50;Meta;50686;San Juanito;Rural;Rural Disperso;Fuera SC;Fuera SC;241441037.1;65903.80623
912;12It12;Rurality level;50;Meta;50689;San Martín;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;5981666491;463147.2087
913;12It12;Rurality level;50;Meta;50711;Vistahermosa;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;4850435683;427387.2634
914;12It12;Rurality level;86;Putumayo;86001;Mocoa;Intermedio;Intermedio;SA-Otros SC;Uninodal;1316591653;225424.5332
915;12It12;Rurality level;86;Putumayo;86219;Colón;Intermedio;intermedio;Fuera SC;Fuera SC;61255458.1;38601.01876
916;12It12;Rurality level;86;Putumayo;86320;Orito;Rural;Rural;Fuera SC;Fuera SC;1948845227;215383.4872
917;12It12;Rurality level;86;Putumayo;86749;Sibundoy;Intermedio;intermedio;Fuera SC;Fuera SC;93166800.37;49280.60864
918;12It12;Rurality level;86;Putumayo;86755;San Francisco;Rural;Rural;Fuera SC;Fuera SC;404540994.3;107559.601
919;12It12;Rurality level;86;Putumayo;86757;San Miguel;Rural;Rural Disperso;Fuera SC;Fuera SC;376795196.2;123376.9935
920;12It12;Rurality level;86;Putumayo;86760;Santiago;Rural;Rural;Fuera SC;Fuera SC;339986345;92171.34931
921;12It12;Rurality level;86;Putumayo;86865;Valle del Guamuez;Intermedio;Rural;Fuera SC;Fuera SC;816401776.2;166111.2713
922;12It12;Rurality level;86;Putumayo;86885;Villagarzón;Rural;Rural;Fuera SC;Fuera SC;1402760708;184538.0099
923;12It12;Rurality level;63;Quindio;63001;Armenia;Ciudades y aglomeraciones;Nodo;A-Armenia;Centro aglomeración - Nodo;129329503.3;64994.69908
924;12It12;Rurality level;63;Quindio;63111;Buenavista;Intermedio;intermedio;Fuera SC;Fuera SC;38646817.73;25450.35744
925;12It12;Rurality level;63;Quindio;63130;Calarca;Ciudades y aglomeraciones;Aglomeración Armenia;A-Armenia;En aglomeración;225799911;86084.26326
926;12It12;Rurality level;63;Quindio;63190;Circasia;Ciudades y aglomeraciones;Aglomeración Armenia;A-Armenia;En aglomeración;93766860.78;48717.98302
927;12It12;Rurality level;63;Quindio;63212;Córdoba;Intermedio;intermedio;Fuera SC;Fuera SC;94372513.1;44174.45245
928;12It12;Rurality level;63;Quindio;63272;Filandia;Intermedio;intermedio;Fuera SC;Fuera SC;111006520.1;55864.54224
929;12It12;Rurality level;63;Quindio;63302;Génova;Rural;Rural;Fuera SC;Fuera SC;295950364.5;78352.75345
930;12It12;Rurality level;63;Quindio;63401;La Tebaida;Ciudades y aglomeraciones;Aglomeración Armenia;A-Armenia;En aglomeración;83185187.7;42257.23659
931;12It12;Rurality level;63;Quindio;63470;Montenegro;Intermedio;intermedio;Fuera SC;Fuera SC;142860556;54820.48297
932;12It12;Rurality level;63;Quindio;63548;Pijao;Rural;Rural;Fuera SC;Fuera SC;251100792.8;74047.81122
933;12It12;Rurality level;63;Quindio;63594;Quimbaya;Intermedio;intermedio;Fuera SC;Fuera SC;135636643.9;49971.00084
934;12It12;Rurality level;63;Quindio;63690;Salento;Rural;Rural;Fuera SC;Fuera SC;344920084.3;92432.56829
935;12It12;Rurality level;66;Risaralda;66001;Pereira;Ciudades y aglomeraciones;Nodo;A-Pereira;Centro aglomeración - Nodo;617893265.1;180499.3266
936;12It12;Rurality level;66;Risaralda;66045;Apía;Intermedio;intermedio;Fuera SC;Fuera SC;156208111;67791.65996
937;12It12;Rurality level;66;Risaralda;66075;Balboa;Rural Disperso;Rural;Fuera SC;Fuera SC;125478259.5;42521.9585
938;12It12;Rurality level;66;Risaralda;66088;Belén de Umbría;Intermedio;intermedio;Fuera SC;Fuera SC;182878510.2;52483.36685
939;12It12;Rurality level;66;Risaralda;66170;Dosquebradas;Ciudades y aglomeraciones;Aglomeración Pereira;A-Pereira;En aglomeración;69688707.79;33189.14497
940;12It12;Rurality level;66;Risaralda;66318;Guática;Intermedio;intermedio;Fuera SC;Fuera SC;96990814.6;46570.75313
941;12It12;Rurality level;66;Risaralda;66383;La Celia;Intermedio;intermedio;Fuera SC;Fuera SC;89884777.53;49003.40012
942;12It12;Rurality level;66;Risaralda;66400;La Virginia;Intermedio;intermedio;Fuera SC;Fuera SC;32548367.28;23434.66406
943;12It12;Rurality level;66;Risaralda;66440;Marsella;Intermedio;intermedio;Fuera SC;Fuera SC;152159361.9;56543.54914
944;12It12;Rurality level;66;Risaralda;66594;Quinchía;Intermedio;intermedio;Fuera SC;Fuera SC;139149958.5;44933.35952
945;12It12;Rurality level;66;Risaralda;66682;Santa Rosa de Cabal;Ciudades y aglomeraciones;Aglomeración Pereira;A-Pereira;En aglomeración;555770916.3;115150.1049
946;12It12;Rurality level;66;Risaralda;66687;Santuario;Intermedio;intermedio;Fuera SC;Fuera SC;191540450.6;80044.01395
947;12It12;Rurality level;70;Sucre;70001;Sincelejo;Ciudades y aglomeraciones;Aglomeración;SA-Montería-Sincelejo;Uninodal;286086644.4;82620.49197
948;12It12;Rurality level;70;Sucre;70110;Buenavista;Intermedio;intermedio;Fuera SC;Fuera SC;150074644.2;73540.79168
949;12It12;Rurality level;70;Sucre;70124;Caimito;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;428810903;99622.81193
950;12It12;Rurality level;70;Sucre;70204;Coloso;Rural;intermedio;Fuera SC;Fuera SC;127020172.9;57891.42382
951;12It12;Rurality level;70;Sucre;70215;Corozal;Intermedio;intermedio;Fuera SC;Fuera SC;294229075.8;103678.5609
952;12It12;Rurality level;70;Sucre;70221;Coveñas;Intermedio;intermedio;Fuera SC;Fuera SC;59923842.17;39688.879
953;12It12;Rurality level;70;Sucre;70230;Chalán;Intermedio;intermedio;Fuera SC;Fuera SC;85799941.65;42831.7904
954;12It12;Rurality level;70;Sucre;70233;El Roble;Intermedio;intermedio;Fuera SC;Fuera SC;207852380.8;94663.51977
955;12It12;Rurality level;70;Sucre;70235;Galeras;Intermedio;intermedio;Fuera SC;Fuera SC;324626368.4;86290.91024
956;12It12;Rurality level;70;Sucre;70265;Guaranda;Rural;Rural;Fuera SC;Fuera SC;370983313.4;119930.6031
957;12It12;Rurality level;70;Sucre;70400;La Unión;Rural;intermedio;Fuera SC;Fuera SC;241906873.3;86925.94194
958;12It12;Rurality level;70;Sucre;70418;Los Palmitos;Intermedio;intermedio;Fuera SC;Fuera SC;205244591.4;71346.45142
959;12It12;Rurality level;70;Sucre;70429;Majagual;Rural;Rural Disperso;Fuera SC;Fuera SC;863605018.7;139305.1891
960;12It12;Rurality level;70;Sucre;70473;Morroa;Intermedio;intermedio;Fuera SC;Fuera SC;172344046.1;51924.75456
961;12It12;Rurality level;70;Sucre;70508;Ovejas;Rural;Rural;Fuera SC;Fuera SC;471665139.2;104765.9514
962;12It12;Rurality level;70;Sucre;70523;Palmito;Intermedio;intermedio;Fuera SC;Fuera SC;181242075.1;57016.9555
963;12It12;Rurality level;70;Sucre;70670;Sampués;Intermedio;intermedio;Fuera SC;Fuera SC;222858141;78717.14513
964;12It12;Rurality level;70;Sucre;70678;San Benito Abad;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1531951725;246840.5862
965;12It12;Rurality level;70;Sucre;70702;San Juan de Betulia;Intermedio;intermedio;Fuera SC;Fuera SC;173516057.3;60844.57879
966;12It12;Rurality level;70;Sucre;70708;San Marcos;Intermedio;intermedio;Fuera SC;Fuera SC;992832345.4;134623.1917
967;12It12;Rurality level;70;Sucre;70713;San Onofre;Rural;Rural;Fuera SC;Fuera SC;1069417864;177498.5236
968;12It12;Rurality level;70;Sucre;70717;San Pedro;Intermedio;intermedio;Fuera SC;Fuera SC;218163650.7;55875.33521
969;12It12;Rurality level;70;Sucre;70742;San Luis de Sincé;Intermedio;intermedio;Fuera SC;Fuera SC;440613509.5;109495.641
970;12It12;Rurality level;70;Sucre;70771;Sucre;Rural;Rural Disperso;Fuera SC;Fuera SC;1177325402;174052.0794
971;12It12;Rurality level;70;Sucre;70820;Santiago de Tolú;Intermedio;intermedio;Fuera SC;Fuera SC;315034346.5;87959.28775
972;12It12;Rurality level;70;Sucre;70823;Tolú Viejo;Rural;intermedio;Fuera SC;Fuera SC;313577176.5;83674.80881
973;12It12;Rurality level;73;Tolima;73001;Ibagué;Ciudades y aglomeraciones;Aglomeración;SA-Otros SC;Uninodal;1393580622;236529.1838
974;12It12;Rurality level;73;Tolima;73024;Alpujarra;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;513618665.6;97405.09936
975;12It12;Rurality level;73;Tolima;73026;Alvarado;Rural;Rural;Fuera SC;Fuera SC;356596198.8;80931.94347
976;12It12;Rurality level;73;Tolima;73030;Ambalema;Rural;Rural;Fuera SC;Fuera SC;236831697.1;75743.15082
977;12It12;Rurality level;73;Tolima;73043;Anzoátegui;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;469023064.2;109303.3613
978;12It12;Rurality level;73;Tolima;73055;Armero;Rural;Rural;Fuera SC;Fuera SC;448725801.3;112048.1977
979;12It12;Rurality level;73;Tolima;73067;Ataco;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1027664145;197164.2016
980;12It12;Rurality level;73;Tolima;73124;Cajamarca;Rural;Rural;Fuera SC;Fuera SC;518807887.3;102571.1571
981;12It12;Rurality level;73;Tolima;73148;Carmen de Apicalá;Rural;intermedio;Fuera SC;Fuera SC;195954719.9;65770.78678
982;12It12;Rurality level;73;Tolima;73152;Casabianca;Rural;Rural Disperso;Fuera SC;Fuera SC;176444740.8;99032.88055
983;12It12;Rurality level;73;Tolima;73168;Chaparral;Intermedio;intermedio;Fuera SC;Fuera SC;2131127329;237085.0024
984;12It12;Rurality level;73;Tolima;73200;Coello;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;344980789.4;98963.74195
985;12It12;Rurality level;73;Tolima;73217;Coyaima;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;675767458.2;124805.5693
986;12It12;Rurality level;73;Tolima;73226;Cunday;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;510014663.1;118390.1082
987;12It12;Rurality level;73;Tolima;73236;Dolores;Rural;Rural;Fuera SC;Fuera SC;662587913.2;179130.507
988;12It12;Rurality level;73;Tolima;73268;Espinal;Intermedio;intermedio;Fuera SC;Fuera SC;222371685;72327.8206
989;12It12;Rurality level;73;Tolima;73270;Falan;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;183163307.5;65323.04473
990;12It12;Rurality level;73;Tolima;73275;Flandes;Intermedio;Aglomeracion Girardot;A-Girardot;En aglomeración;93066209.07;45316.67707
991;12It12;Rurality level;73;Tolima;73283;Fresno;Intermedio;intermedio;Fuera SC;Fuera SC;217600931.7;69993.93204
992;12It12;Rurality level;73;Tolima;73319;Guamo;Intermedio;intermedio;Fuera SC;Fuera SC;509036243.8;104608.3844
993;12It12;Rurality level;73;Tolima;73347;Herveo;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;331774172.2;94338.82242
994;12It12;Rurality level;73;Tolima;73349;Honda;Ciudades y aglomeraciones;Función Subregional;SA-Otros SC;Uninodal;303021469.3;95444.70653
995;12It12;Rurality level;73;Tolima;73352;Icononzo;Intermedio;intermedio;Fuera SC;Fuera SC;225096461.4;79815.73736
996;12It12;Rurality level;73;Tolima;73408;Lérida;Intermedio;intermedio;Fuera SC;Fuera SC;267594228.8;79417.22819
997;12It12;Rurality level;73;Tolima;73411;Líbano;Intermedio;intermedio;Fuera SC;Fuera SC;286175078.8;77300.23798
998;12It12;Rurality level;73;Tolima;73443;Mariquita;Intermedio;intermedio;Fuera SC;Fuera SC;306706230;68413.05071
999;12It12;Rurality level;73;Tolima;73449;Melgar;Intermedio;intermedio;Fuera SC;Fuera SC;200250084.3;79394.85449
1000;12It12;Rurality level;73;Tolima;73461;Murillo;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;429564228.3;94724.2332
1001;12It12;Rurality level;73;Tolima;73483;Natagaima;Rural;Rural;Fuera SC;Fuera SC;862903628.4;143937.0141
1002;12It12;Rurality level;73;Tolima;73504;Ortega;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;965846073.9;144362.7799
1003;12It12;Rurality level;73;Tolima;73520;Palocabildo;Intermedio;intermedio;Fuera SC;Fuera SC;66145083.02;31636.76531
1004;12It12;Rurality level;73;Tolima;73547;Piedras;Rural;Rural;Fuera SC;Fuera SC;369484595.2;102861.2883
1005;12It12;Rurality level;73;Tolima;73555;Planadas;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;1773410549;201510.7075
1006;12It12;Rurality level;73;Tolima;73563;Prado;Rural;Rural;Fuera SC;Fuera SC;435470414;95490.00684
1007;12It12;Rurality level;73;Tolima;73585;Purificación;Intermedio;intermedio;Fuera SC;Fuera SC;397728983.6;123320.7439
1008;12It12;Rurality level;73;Tolima;73616;Rioblanco;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2064727090;211165.607
1009;12It12;Rurality level;73;Tolima;73622;Roncesvalles;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;780240262.2;126199.0159
1010;12It12;Rurality level;73;Tolima;73624;Rovira;Rural;Rural;Fuera SC;Fuera SC;749181756.1;140498.4315
1011;12It12;Rurality level;73;Tolima;73671;Saldaña;Intermedio;intermedio;Fuera SC;Fuera SC;200210944;76081.48698
1012;12It12;Rurality level;73;Tolima;73675;San Antonio;Rural Disperso;Rural;Fuera SC;Fuera SC;386076467.4;102192.6297
1013;12It12;Rurality level;73;Tolima;73678;San Luis;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;413309235.6;137554.7786
1014;12It12;Rurality level;73;Tolima;73686;Santa Isabel;Rural;Rural;Fuera SC;Fuera SC;272540777.9;116516.9071
1015;12It12;Rurality level;73;Tolima;73770;Suárez;Rural;Rural;Fuera SC;Fuera SC;188161029.8;97195.49993
1016;12It12;Rurality level;73;Tolima;73854;Valle de San Juan;Rural;Rural;Fuera SC;Fuera SC;201161624.1;60305.10644
1017;12It12;Rurality level;73;Tolima;73861;Venadillo;Intermedio;Rural;Fuera SC;Fuera SC;340735946.6;92256.81484
1018;12It12;Rurality level;73;Tolima;73870;Villahermosa;Rural;Rural;Fuera SC;Fuera SC;285932884.8;88931.26893
1019;12It12;Rurality level;73;Tolima;73873;Villarrica;Rural;Rural;Fuera SC;Fuera SC;438211092.2;90317.21271
1020;12It12;Rurality level;13;Bolívar;13001;Cartagena;Ciudades y aglomeraciones;Nodo;A-Cartagena;Centro aglomeración - Nodo;602400407.2;232414.4446
1021;12It12;Rurality level;13;Bolívar;13006;Achí;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;984078447.9;161790.5793
1022;12It12;Rurality level;13;Bolívar;13030;Altos del Rosario;Rural;Rural;Fuera SC;Fuera SC;310329709.6;85730.38166
1023;12It12;Rurality level;13;Bolívar;13042;Arenal;Rural Disperso;Rural;Fuera SC;Fuera SC;471644252.1;141739.3084
1024;12It12;Rurality level;13;Bolívar;13052;Arjona;Ciudades y aglomeraciones;Aglomeración Cartagena;A-Cartagena;En aglomeración;600864731.4;125882.9186
1025;12It12;Rurality level;13;Bolívar;13062;Arroyohondo;Intermedio;intermedio;Fuera SC;Fuera SC;160852174.3;59418.4023
1026;12It12;Rurality level;13;Bolívar;13074;Barranco de Loba;Rural;Rural;Fuera SC;Fuera SC;439712857.8;143404.4457
1027;12It12;Rurality level;13;Bolívar;13140;Calamar;Intermedio;intermedio;Fuera SC;Fuera SC;273061861.7;113234.0284
1028;12It12;Rurality level;13;Bolívar;13160;Cantagallo;Rural;Rural Disperso;Fuera SC;Fuera SC;902198323.7;156818.4123
1029;12It12;Rurality level;13;Bolívar;13188;Cicuco;Intermedio;intermedio;Fuera SC;Fuera SC;131586026.1;47754.3964
1030;12It12;Rurality level;13;Bolívar;13212;Córdoba;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;616686591.9;116085.1951
1031;12It12;Rurality level;13;Bolívar;13222;Clemencia;Ciudades y aglomeraciones;Aglomeración Cartagena;A-Cartagena;En aglomeración;88247013.04;44296.82852
1032;12It12;Rurality level;13;Bolívar;13244;El Carmen de Bolívar;Intermedio;intermedio;Fuera SC;Fuera SC;977056566.2;168261.7603
1033;12It12;Rurality level;13;Bolívar;13248;El Guamo;Rural;Rural;Fuera SC;Fuera SC;393017936.3;84884.86524
1034;12It12;Rurality level;13;Bolívar;13268;El Peñón;Rural;Rural;Fuera SC;Fuera SC;324659358.6;84995.06552
1035;12It12;Rurality level;13;Bolívar;13300;Hatillo de Loba;Rural;Rural;Fuera SC;Fuera SC;189403901.5;109322.3189
1036;12It12;Rurality level;13;Bolívar;13430;Magangué;Intermedio;intermedio;Fuera SC;Fuera SC;1173638547;216838.7911
1037;12It12;Rurality level;13;Bolívar;13433;Mahates;Intermedio;intermedio;Fuera SC;Fuera SC;457107336;107984.2733
1038;12It12;Rurality level;13;Bolívar;13440;Margarita;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;312165498.8;87604.24527
1039;12It12;Rurality level;13;Bolívar;13442;María La Baja;Intermedio;intermedio;Fuera SC;Fuera SC;586303450.7;106731.9133
1040;12It12;Rurality level;13;Bolívar;13458;Montecristo;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;2144669630;312732.8006
1041;12It12;Rurality level;13;Bolívar;13468;Mompós;Intermedio;intermedio;Fuera SC;Fuera SC;669634353.1;115527.1056
1042;12It12;Rurality level;13;Bolívar;13473;Morales;Rural Disperso;Rural;Fuera SC;Fuera SC;1391342587;192977.5317
1043;12It12;Rurality level;13;Bolívar;13490;Norosí;Rural;Rural Disperso;Fuera SC;Fuera SC;423352090.6;98967.99859
1044;12It12;Rurality level;13;Bolívar;13549;Pinillos;Rural Disperso;Rural Disperso;Fuera SC;Fuera SC;807707329.5;184886.3596
1045;12It12;Rurality level;13;Bolívar;13580;Regidor;Intermedio;Rural;Fuera SC;Fuera SC;188073308.6;73063.47824
1046;12It12;Rurality level;13;Bolívar;13600;Río Viejo;Rural;Rural;Fuera SC;Fuera SC;878189920.6;268094.9166
